labels,theta,radius
Fp1,-19.33000794,0.524968103
Fz,0.305707763,0.229780774
F3,-43.4108385,0.333394523
F7,-58.84681304,0.543992477
FT9,-80.17031041,0.669905546
FC5,-76.42590505,0.404915803
FC1,-52.63312388,0.156571264
C3,-100.0912049,0.254934756
T7,-100.7764236,0.534587811
CP5,-120.3218753,0.396919888
CP1,-143.0958652,0.182942534
Pz,179.7706486,0.247085185
P3,-146.0679006,0.33054404
P7,-135.3999608,0.507672371
O1,-165.3415027,0.475840291
Oz,179.9463407,0.459610758
O2,165.0999066,0.475910597
P4,144.6791273,0.330934374
P8,135.0049405,0.507823297
CP6,118.9554122,0.399198118
CP2,140.8059092,0.187835247
Cz,177.4958819,0.029055299
C4,99.22459761,0.260682191
T8,100.0120289,0.53482468
FT10,80.30861436,0.670202948
FC6,75.92838648,0.407797869
FC2,52.76309457,0.161132518
F4,43.66766973,0.341494751
F8,58.69381579,0.544390148
Fp2,19.38542873,0.524989425
AF7,-38.65060579,0.53820667
AF3,-23.68222377,0.42112419
AFz,0.1640747,0.368462667
F1,-25.77897475,0.257420688
F5,-53.30915772,0.433967434
FT7,-80.08430223,0.542961427
FC3,-69.32053429,0.273279653
C1,-105.4358245,0.12601143
C5,-99.72577392,0.390567987
TP7,-118.4805181,0.523230836
CP3,-126.4881645,0.279459296
P1,-160.4336811,0.269805133
P5,-138.5945068,0.413383241
PO7,-150.6507459,0.492058769
PO3,-160.0984128,0.393821565
POz,179.8791036,0.353617668
PO4,159.9621179,0.395946277
PO8,150.3078714,0.492269003
P6,138.1910144,0.414324785
P2,158.3676358,0.269214327
CPz,179.5328581,0.141387346
CP4,124.9971807,0.283967352
TP8,118.0303774,0.523375262
C6,98.70385909,0.393982776
C2,104.3308826,0.131883203
FC4,69.15189142,0.278626384
FT8,79.32868817,0.543053678
F6,53.73192644,0.438912184
AF8,38.66876484,0.538188281
AF4,24.67710663,0.420022089
F2,27.12980319,0.263268992
Iz,179.9978254,0.561192075
FCz,0.7867,0.095376
